time,infections
0,10
0,24
0,30
0,36
0,45
0,54
0,60
0,70
0,76
0,84
0,91
0,99
0,110
0,116
0,128
0,134
0,151
0,163
0,160
0,164
0,176
0,181
0,196
0,205
0,210
0,216
0,216
0,217
0,224
0,230
0,226
0,230
0,239
0,250
0,243
0,246
0,240
0,235
0,238
0,228
0,233
0,233
0,220
0,211
0,201
0,182
0,178
0,171
0,170
0,165
0,156
0,149
0,143
0,147
0,137
0,142
0,147
0,138
0,140
0,141
0,142
0,128
0,127
0,119
0,118
0,118
0,114
0,111
0,106
0,95
0,87
0,89
0,81
0,80
0,72
0,70
0,64
0,64
0,63
0,58
0,54
0,51
0,51
0,53
0,51
0,49
0,48
0,49
0,52
0,56
0,55
0,54
0,52
0,52
0,50
0,51
0,50
0,49
0,50
0,46
0,46
0,43
0,40
