time,infections
0,10
0,25
0,40
0,46
0,60
0,74
0,85
0,103
0,129
0,151
0,162
0,192
0,211
0,230
0,256
0,275
0,278
0,293
0,312
0,318
0,329
0,336
0,333
0,329
0,333
0,322
0,320
0,326
0,319
0,303
0,300
0,291
0,279
0,268
0,264
0,254
0,239
0,230
0,221
0,208
0,200
0,180
0,167
0,155
0,142
0,139
0,129
0,125
0,112
0,104
0,103
0,95
0,92
0,87
0,80
0,77
0,72
0,66
0,67
0,61
0,55
0,50
0,48
0,43
0,38
0,38
0,34
0,33
0,27
0,26
0,25
0,32
0,29
0,27
0,22
0,24
0,21
0,19
0,16
0,13
0,17
0,17
0,18
0,18
0,18
0,11
0,12
0,11
0,13
0,11
0,12
0,13
0,13
0,12
0,9
0,8
0,7
0,6
0,6
0,6
0,5
0,5
0,3
