time,reinfections
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,9
0,12
0,15
0,16
0,17
0,20
0,31
0,35
0,43
0,52
0,57
0,64
0,73
0,77
0,79
0,88
0,99
0,106
0,116
0,126
0,129
0,132
0,141
0,143
0,152
0,158
0,157
0,157
0,155
0,149
0,145
0,154
0,154
0,150
0,140
0,138
0,127
0,122
0,115
0,105
0,106
0,107
0,109
0,108
0,104
0,95
0,89
0,85
0,83
0,80
0,88
0,88
0,86
0,89
0,85
0,83
0,79
0,79
0,75
0,71
0,69
0,67
0,66
0,74
0,61
0,58
0,56
0,54
0,53
0,54
0,55
0,52
0,53
0,52
0,51
0,49
0,48
0,38
0,39
0,39
0,39
0,39
0,39
0,37
0,33
0,33
0,35
0,36
0,37
0,39
0,40
0,44
0,47
